,code,concatsize,organic,name,RRP,brand,j,price,,,barcode,case size,unit size,unit,
1,1001,6x500g,organic,Arborio Rice - white,2.57,Infinity Foods,,11.55,,0,5028869010010,6,500,g,
1,1002,6x500g,organic,Black Rice,3.5,Infinity Foods,,15.75,,0,5028869010027,6,500,g,
1,1003,6x500g,organic,Amaranth Seed - (Now Indian),1.82,Infinity Foods,,8.2,,0,5028869010034,6,500,g,
1,1005,12x500g,organic,Brown Rice Short Grain,1.76,Infinity Foods,,15.85,,0,5028869010058,12,500,g,
1,1010,12x1kg,organic,Brown Rice Short Grain,3.21,Infinity Foods,,28.85,,0,5028869010102,12,1,kg,
1,1012,12x500g,organic,Brown Basmati,1.79,Infinity Foods,,16.1,,0,5028869010126,12,500,g,
1,1013,12x1kg,organic,Brown Basmati,3.25,Infinity Foods,,29.25,,0,5028869010133,12,1,kg,
1,1015,6x2kg,organic,Brown Rice Short Grain,6.25,Infinity Foods,,28.05,,0,5028869010157,6,2,kg,
1,1020,12x500g,organic,Brown Rice Long Grain,1.87,Infinity Foods,,16.8,,0,5028869010201,12,500,g,
1,1025,12x1kg,organic,Brown Rice Long Grain,3.42,Infinity Foods,,30.75,,0,5028869010256,12,1,kg,
1,1030,6x2kg,organic,Brown Rice Long Grain,6.66,Infinity Foods,,29.95,,0,5028869010300,6,2,kg,
1,1035,6x500g,organic,Buckwheat Groats - certified gluten-free,1.69,Infinity Foods,,7.55,,0,5028869010355,6,500,g,
1,1045,12x500g,organic,Bulghur,1.47,Infinity Foods,,13.2,,0,5028869010454,12,500,g,
1,1050,6x500g,organic,Camargue Red Rice,2.7,Infinity Foods,,12.15,,0,5028869010508,6,500,g,
1,1051,6x400g,organic,Fregola - Giant Cous Cous,2.55,Infinity Foods,,11.4,,0,5028869010515,6,400,g,
1,1057,12x450g,organic,White Cous Cous,1.4,Infinity Foods,,12.6,,0,5028869010577,12,450,g,
1,1060,12x450g,organic,Wholemeal Cous Cous,1.37,Infinity Foods,,12.3,,0,5028869010607,12,450,g,
1,1073,6x500g,organic,Kasha - Roasted Buckwheat - certified gluten-free,2.59,Infinity Foods,,11.6,,0,5028869010737,6,500,g,
1,1075,12x500g,organic,Millet,1.39,Infinity Foods,,12.5,,0,5028869010751,12,500,g,
1,1090,12x500g,organic,Oat Groats,1.12,Infinity Foods,,10.1,,0,5028869010904,12,500,g,
1,1092,6x450g,organic,Orzo - rice shape from durum wheat,1.89,Infinity Foods,,8.5,,0,5028869010928,6,450,g,
1,1105,12x500g,organic,Popping Corn,1.33,Infinity Foods,,12,,0,5028869011055,12,500,g,
1,1112,12x500g,organic,Pearl Barley,1.09,Infinity Foods,,9.85,,0,5028869011123,12,500,g,
1,1115,12x500g,organic,Pot Barley,1.08,Infinity Foods,,9.7,,0,5028869011154,12,500,g,
1,1125,12x450g,organic,British White Quinoa Grain,2.61,Infinity Foods,,23.45,,0,5028869011253,12,450,g,
1,1127,12x450g,organic,Quinoa Grain - certified gluten-free,2.31,Infinity Foods,,20.75,,0,5028869011277,12,450,g,
1,1128,6x1kg,organic,Quinoa Grain - certified gluten-free,4.78,Infinity Foods,,21.5,,0,5028869011284,6,1,kg,
1,1130,6x500g,organic,Rye Grain,1.27,Infinity Foods,,5.7,,0,5028869011307,6,500,g,
1,1138,6x500g,organic,Spelt Grain,1.65,Infinity Foods,,7.4,,0,5028869011383,6,500,g,
1,1139,6x500g,organic,Teff Grain - whole brown - GF (temp N/A),2.89,Infinity Foods,H,13,,0,5028869011390,6,500,g,
1,1150,12x500g,organic,Wheat Grain,1.09,Infinity Foods,,9.85,,0,5028869011505,12,500,g,
1,1155,12x450g,organic,Red Quinoa Grain,2.62,Infinity Foods,,23.55,,0,5028869011550,12,450,g,
1,1156,6x1kg,organic,Red Quinoa Grain,5.49,Infinity Foods,,24.65,,0,5028869011568,6,1,kg,
1,1157,6x450g,organic,Black Quinoa Grain,3.57,Infinity Foods,,16.05,,0,5028869011574,6,450,g,
1,1159,12x450g,organic,Tricolour Quinoa Grain,2.63,Infinity Foods,,23.65,,0,5028869011598,12,450,g,
1,1160,6x1kg,organic,Tricolour Quinoa Grain,5.5,Infinity Foods,,24.72,,0,5028869011604,6,1,kg,
1,1165,12x500g,organic,White Basmati - Indian,2.06,Infinity Foods,,18.5,,0,5028869011659,12,500,g,
1,1167,12x1kg,organic,White Basmati - Indian,3.79,Infinity Foods,,34.15,,0,5028869011673,12,1,kg,
1,1180,6x250g,organic,Wild Rice,4.35,Infinity Foods,,19.5,,0,5028869011802,6,250,g,
1,1185,6x500g,organic,Wild Rice Mix,3.03,Infinity Foods,,13.65,,0,5028869011857,6,500,g,
1,1190,6x500g,organic,Brown Jasmine Rice,2.14,Infinity Foods,,9.6,,0,5028869011901,6,500,g,
1,1195,6x500g,organic,White Jasmine Rice,2.4,Infinity Foods,,10.8,,0,5028869011956,6,500,g,
1,2005,6x500g,organic,Barley Flakes,1.27,Infinity Foods,,5.7,,0,5028869020057,6,500,g,
1,2010,6x500g,organic,Buckwheat Flakes - gluten free,2.8,Infinity Foods,,12.6,,0,5028869020101,6,500,g,
1,2013,6x500g,organic,Millet Flakes - gluten free,3.48,Infinity Foods,,15.65,,0,5028869020132,6,500,g,
1,2015,12x500g,organic,Jumbo Oatflakes,1.12,Infinity Foods,,10.1,,0,5028869020156,12,500,g,
1,2020,6x1kg,organic,Jumbo Oatflakes,2.12,Infinity Foods,,9.55,,0,5028869020200,6,1,kg,
1,2030,12x500g,organic,Rolled Oatflakes,1.12,Infinity Foods,,10.1,,0,5028869020309,12,500,g,
1,2035,6x1kg,organic,Rolled Oatflakes,2.12,Infinity Foods,,9.55,,0,5028869020354,6,1,kg,
1,2037,6x500g,organic,Spelt Flakes,2.55,Infinity Foods,,11.45,,0,5028869020378,6,500,g,
1,2038,6x500g,organic,British Quinoa Flakes - gluten-free,3.71,Infinity Foods,,16.65,,0,5028869020385,6,500,g,
1,2040,6x500g,organic,Quinoa Flakes - gluten free,3.71,Infinity Foods,,16.65,,0,5028869020408,6,500,g,
1,2043,6x450g,organic,Brown Rice Flakes - gluten free,3.09,Infinity Foods,,13.85,,0,5028869020439,6,450,g,
1,2045,6x500g,organic,Rye Flakes,1.22,Infinity Foods,,5.5,,0,5028869020453,6,500,g,
1,2055,6x500g,organic,Wheat Flakes,1.22,Infinity Foods,,5.5,,0,5028869020552,6,500,g,
1,2065,12x250g,organic,Toasted Wheat Flakes,1.07,Infinity Foods,,9.65,,0,5028869020651,12,250,g,
1,2090,6x400g,organic,Gluten-free Rolled Oatflakes (Porridge Oats),1.98,Infinity Foods,,8.9,,0,5028869020903,6,400,g,
1,2095,6x400g,organic,Gluten-free Jumbo Oatflakes,1.98,Infinity Foods,,8.9,,0,5028869020958,6,400,g,
1,3005,6x500g,organic,Barley Flour (Test do not pack or collate),1.2,Infinity Foods,l,5.4,,0,5028869030056,6,500,g,
1,3010,12x250g,organic,Wheat Bran,0.77,Infinity Foods,,6.95,,0,5028869030100,12,250,g,
1,3015,6x500g,organic,Brown Rice Flour,2.45,Infinity Foods,,11,,0,5028869030155,6,500,g,
1,3020,6x500g,organic,Buckwheat Flour,2.95,Infinity Foods,,13.25,,0,5028869030209,6,500,g,
1,3022,6x500g,organic,Chickpea Flour,3.1,Infinity Foods,,13.95,,0,5028869030223,6,500,g,
1,3023,6x500g,organic,Coconut Flour,3.05,Infinity Foods,,13.7,,0,5028869030230,6,500,g,
1,3025,6x500g,organic,Corn Flour (maize flour),2.15,Infinity Foods,,9.65,,0,5028869030254,6,500,g,
1,3038,6x500g,organic,Oat Bran,1.71,Infinity Foods,,7.7,,0,5028869030384,6,500,g,
1,3040,6x500g,organic,Fine Oatmeal,1.34,Infinity Foods,,6.05,,0,5028869030407,6,500,g,
1,3045,6x500g,organic,Medium Oatmeal,1.34,Infinity Foods,,6.05,,0,5028869030452,6,500,g,
1,3050,6x500g,organic,Coarse Oatmeal (Pinhead),1.34,Infinity Foods,,6.05,,0,5028869030506,6,500,g,
1,3052,6x500g,organic,Polenta,2.4,Infinity Foods,,10.8,,0,5028869030520,6,500,g,
1,3053,6x500g,organic,Potato Starch,2.9,Infinity Foods,,13.05,,0,5028869030537,6,500,g,
1,3054,6x500g,organic,Quinoa Flour,5.15,Infinity Foods,,23.15,,0,5028869030544,6,500,g,
1,3055,6x500g,organic,Rye Flour - whole,1.17,Infinity Foods,,5.25,,0,5028869030551,6,500,g,
1,3070,6x500g,organic,Soya Flour,3.15,Infinity Foods,,14.15,,0,5028869030704,6,500,g,
1,3075,6x500g,organic,Spelt Flour - whole,2,Infinity Foods,,9,,0,5028869030759,6,500,g,
1,3080,6x500g,organic,Tapioca Flour,2.29,Infinity Foods,,10.25,,0,5028869030803,6,500,g,
1,3085,6x500g,organic,White Semolina,1.89,Infinity Foods,,8.5,,0,5028869030858,6,500,g,
1,3090,6x500g,organic,Teff Flour - wholegrain brown,3.99,Infinity Foods,,17.95,,0,5028869030902,6,500,g,
1,3095,6x500g,organic,Teff Flour - wholegrain white,3.99,Infinity Foods,,17.95,,0,5028869030957,6,500,g,
1,4025,6x500g,organic,Oat Muesli - gluten-free,3.49,Infinity Foods,,15.7,,0,5028869040253,6,500,g,
1,4027,6x275g,organic,Wild Berry Flakes - gluten-free,2.82,Infinity Foods,,12.7,,0,5028869040277,6,275,g,
1,4028,6x400g,organic,Gluten-free Granola Muesli,3.92,Infinity Foods,,17.65,,0,5028869040284,6,400,g,
1,4030,12x500g,organic,Gluten-free Muesli - Original,3.6,Infinity Foods,,32.4,,0,5028869040307,12,500,g,
1,4033,6x500g,organic,Bran Flakes,3.27,Infinity Foods,,14.7,,0,5028869040338,6,500,g,
1,4035,6x1kg,organic,Gluten-free Muesli - Original,7.05,Infinity Foods,,31.7,,0,5028869040352,6,1,kg,
1,4036,12x500g,organic,Cranberry & Pecan Muesli,3.2,Infinity Foods,,28.8,,0,5028869040369,12,500,g,
1,4037,12x500g,organic,Mango & Coconut Muesli,3.12,Infinity Foods,,28.1,,0,5028869040376,12,500,g,
1,4038,6x1kg,organic,Mango & Coconut Muesli,6.12,Infinity Foods,,27.55,,0,5028869040383,6,1,kg,
1,4039,6x1kg,organic,Cranberry & Pecan Muesli,6.28,Infinity Foods,,28.25,,0,5028869040390,6,1,kg,
1,4040,12x325g,organic,Fruit and Fibre,2.38,Infinity Foods,,21.35,,0,5028869040406,12,325,g,
1,4042,12x500g,organic,Vitality Muesli,2.76,Infinity Foods,,24.85,,0,5028869040420,12,500,g,
1,4043,6x1kg,organic,Vitality Muesli,5.41,Infinity Foods,,24.31,,0,5028869040437,6,1,kg,
1,4045,12x500g,organic,Super Muesli,2.25,Infinity Foods,,20.2,,0,5028869040451,12,500,g,
1,4050,6x1kg,organic,Super Muesli,4.35,Infinity Foods,,19.55,,0,5028869040505,6,1,kg,
1,4055,6x1.5kg,organic,Super Muesli,6.25,Infinity Foods,,28.1,,0,5028869040550,6,1.5,kg,
1,4057,12x500g,organic,Deluxe Muesli,2.19,Infinity Foods,,19.7,,0,5028869040574,12,500,g,
1,4060,6x1kg,organic,Deluxe Muesli,4.25,Infinity Foods,,19.1,,0,5028869040604,6,1,kg,
